"STATION","NAME","DATE","TMAX","TMIN"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-03-25","70","52"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-03-26","79","53"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-03-27","81","61"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-03-28","75","53"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-03-29","77","49"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-03-30","80","60"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-03-31","68","54"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-01","69","43"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-02","69","47"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-03","71","57"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-04","74","59"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-05","79","59"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-06","82","65"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-07","80","58"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-08","84","52"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-09","85","63"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-10","74","53"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-11","86","50"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-12","88","64"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-13","84","55"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-14","74","59"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-15","63","57"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-16","61","53"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-17","63","49"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-18","69","44"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-19","75","46"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-20","63","43"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-21","63","40"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-22","65","55"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-23","73","59"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-24","74","56"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-25","82","54"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-26","83","64"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-27","77","69"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-28","83","74"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-29","75","67"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-04-30","69","63"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-01","75","64"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-02","82","66"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-03","91","70"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-05-04","77","59"
