latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
13.54853,107.80227,322.95,1.02,1.01,2022-02-20,0321,T,74,6.1NRT,295.37,11.87,D
14.07442,104.04817,334.31,1.23,1.1,2022-02-20,0321,T,84,6.1NRT,298.76,29.99,D
13.84392,105.71641,323.9,1.04,1.02,2022-02-20,0321,T,75,6.1NRT,289.89,14.52,D
13.92199,104.77635,316.38,1.12,1.06,2022-02-20,0321,T,0,6.1NRT,290.71,7.23,D
13.69081,106.08052,319.8,1.02,1.01,2022-02-20,0321,T,61,6.1NRT,289.82,9.3,D
13.5049,107.3543,320.19,1.01,1,2022-02-20,0321,T,73,6.1NRT,290.96,9.69,D
13.68313,106.0699,331.73,1.02,1.01,2022-02-20,0321,T,79,6.1NRT,289.22,22.43,D
13.6818,106.07919,332.22,1.02,1.01,2022-02-20,0321,T,79,6.1NRT,289.09,23.3,D
13.63746,106.06657,318.28,1.02,1.01,2022-02-20,0321,T,31,6.1NRT,290.47,7.15,D
13.59934,105.94692,319.25,1.02,1.01,2022-02-20,0321,T,44,6.1NRT,289.42,6.25,D
13.53648,105.80701,330.74,1.03,1.01,2022-02-20,0321,T,83,6.1NRT,294.29,20.3,D
13.50773,105.87939,315.41,1.03,1.01,2022-02-20,0321,T,63,6.1NRT,289.4,5.01,D
13.47591,106.10278,320.27,1.01,1.01,2022-02-20,0321,T,72,6.1NRT,286.75,10.59,D
13.39772,106.64442,313.51,1,1,2022-02-20,0321,T,41,6.1NRT,285.48,5.69,D
13.41745,106.31416,311.76,1.01,1,2022-02-20,0321,T,54,6.1NRT,279.16,6.25,D
13.48258,105.66812,313.29,1.04,1.02,2022-02-20,0321,T,58,6.1NRT,283.39,7.94,D
13.51156,105.33022,319.11,1.06,1.03,2022-02-20,0321,T,69,6.1NRT,290.09,7.44,D
13.36954,106.1379,311.05,1.01,1.01,2022-02-20,0321,T,24,6.1NRT,285.15,4.65,D
13.74598,102.0918,319.69,1.64,1.26,2022-02-20,0321,T,67,6.1NRT,297.28,19.23,D
13.42622,103.08481,324.2,1.38,1.16,2022-02-20,0321,T,53,6.1NRT,301.66,12.21,D
12.78923,107.5156,326.48,1.02,1.01,2022-02-20,0321,T,82,6.1NRT,295.17,18.92,D
12.94197,105.71561,329.34,1.03,1.01,2022-02-20,0321,T,83,6.1NRT,287.83,21.9,D
12.94063,105.72495,316.11,1.03,1.01,2022-02-20,0321,T,69,6.1NRT,287.57,7.31,D
